ESTRATO_RIM,ARTE,COD_ARTE
BACA_AC,BACA,102
BACA_APN,BACA,102
BACA_CN,BACA,102
BACA_GC,BACA,102
BETA_CN,BETA,201
BOU_CN,BOU,101
CERCO_CN,CERCO,601
CERCO_GC,CERCO,601
DRAGA_CN,DRAGAS MECANIZADAS,801
ENMALLE_AC,VOLANTA,202
JURELERA_CN,BACA,102
LIN_CABALLA,LINEAS FIJAS,311
LIN_CALAMAR,LINEAS FIJAS,311
LIN_CALAMAR,POTERA,305
LIN_MERLUZA,LINEAS FIJAS,311
MERLUCER_AC,BACA,102
NASA_NECORA,NASA,502
NASA_PECES,NASA,503
NASAPULP_CN,NASA,502
PALANGRE_AC,PALANGRE DE FONDO,302
PALANGRE_AP,PALANGRE DE FONDO,302
PALANGRE_CN,PALANGRE DE FONDO,302
PAREJA_AC,PAREJA,104
PAREJA_CN,PAREJA,104
RAPANTER_AC,BACA,102
RASCO_CN,RASCO,203
REDANESA_CN,RED DE TIRO,
SABLE_GC,PALANGRE DE FONDO,302
TRASMALL_CN,TRASMALLO,204
TRASMALL_GC,TRASMALLO,204
VOLANTA_CN,VOLANTA,202
VORACERA_GC,LINEAS MOVILES,327
